xflr5 v6.62

 Calculated polar for: NACA 2412

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.000,-0.1762, 0.00854, 0.00282,-0.0546,0.8863,0.0302,-1.7431, 0.0000, 0.0000, 0.0000,-0.0694
 -3.500,-0.1250, 0.00827, 0.00228,-0.0535,0.8158,0.0297,-1.5490, 0.0000, 0.0000, 0.0000,-0.1896
 -3.000,-0.0718, 0.00810, 0.00189,-0.0531,0.7645,0.0295,-1.3590, 0.0000, 0.0000, 0.0000,-0.5047
 -2.500,-0.0196, 0.00794, 0.00150,-0.0523,0.6974,0.0496,-1.2219, 0.0000, 0.0000, 0.0000,-2.4634
 -2.000, 0.0340, 0.00760, 0.00133,-0.0523,0.6764,0.0887,-1.0235, 0.0000, 0.0000, 0.0000, 1.8090
 -1.500, 0.0849, 0.00774, 0.00123,-0.0516,0.5994,0.1046,-0.8368, 0.0000, 0.0000, 0.0000, 0.8639
 -1.000, 0.1382, 0.00772, 0.00118,-0.0515,0.5660,0.1326,-0.6547, 0.0000, 0.0000, 0.0000, 0.6247
 -0.500, 0.1903, 0.00783, 0.00115,-0.0512,0.5079,0.1602,-0.5233, 0.0000, 0.0000, 0.0000, 0.5193
  0.000, 0.2444, 0.00774, 0.00116,-0.0513,0.4846,0.1991,-0.5692, 0.0000, 0.0000, 0.0000, 0.4592
  0.500, 0.2947, 0.00758, 0.00120,-0.0509,0.4405,0.2930,-0.6201, 0.0000, 0.0000, 0.0000, 0.4212
  1.000, 0.3467, 0.00743, 0.00125,-0.0507,0.3940,0.3990,-0.6763, 0.0000, 0.0000, 0.0000, 0.3943
  2.000, 0.4474, 0.00713, 0.00153,-0.0496,0.3335,0.6778,-0.8854, 0.0000, 0.0000, 0.0000, 0.3579
  3.000, 0.5464, 0.00743, 0.00209,-0.0473,0.2485,0.9377,-1.2472, 0.0000, 0.0000, 0.0000, 0.3329
  3.500, 0.6374, 0.00812, 0.00248,-0.0557,0.1914,0.9960,-1.5151, 0.0000, 0.0000, 0.0000, 0.3332
